Date;Open;High;Low;Close;Adj Close;Volume
03/01/2006;1.654.390.015;1.686.589.966;1.633.619.995;1.679.930.054;1.679.930.054;1998300000
04/01/2006;1.684.050.049;1.696.829.956;1.681.849.976;1.695.829.956;1.695.829.956;1881000000
05/01/2006;1.697.800.049;1.707.709.961;1.697.329.956;1.705.290.039;1.705.290.039;1891750000
06/01/2006;1.718.170.044;1.735.500.000;1.710.859.985;1.734.989.990;1.734.989.990;2233640000
09/01/2006;1.734.500.000;1.745.119.995;1.729.599.976;1.741.900.024;1.741.900.024;1949140000
10/01/2006;1.732.250.000;1.744.469.971;1.730.250.000;1.744.020.020;1.744.020.020;1978160000
11/01/2006;1.748.880.005;1.761.459.961;1.743.849.976;1.758.239.990;1.758.239.990;2380600000
12/01/2006;1.754.910.034;1.760.119.995;1.742.849.976;1.747.349.976;1.747.349.976;2011460000
13/01/2006;1.748.369.995;1.750.270.020;1.738.010.010;1.746.780.029;1.746.780.029;1784410000
17/01/2006;1.733.910.034;1.739.250.000;1.728.619.995;1.736.390.015;1.736.390.015;1702260000
18/01/2006;1.708.130.005;1.726.280.029;1.707.750.000;1.716.619.995;1.716.619.995;2276900000
19/01/2006;1.725.339.966;1.740.589.966;1.720.560.059;1.729.920.044;1.729.920.044;2308150000
20/01/2006;1.724.119.995;1.727.020.020;1.674.319.946;1.676.380.005;1.676.380.005;2348140000
23/01/2006;1.681.459.961;1.685.670.044;1.670.469.971;1.676.300.049;1.676.300.049;1902480000
24/01/2006;1.682.800.049;1.695.410.034;1.680.609.985;1.686.219.971;1.686.219.971;2067470000
25/01/2006;1.694.540.039;1.694.540.039;1.670.329.956;1.677.000.000;1.677.000.000;2188120000
26/01/2006;1.687.500.000;1.694.630.005;1.677.250.000;1.690.489.990;1.690.489.990;2404920000
27/01/2006;1.699.160.034;1.722.930.054;1.697.880.005;1.711.109.985;1.711.109.985;2331690000
30/01/2006;1.712.839.966;1.720.880.005;1.711.420.044;1.713.449.951;1.713.449.951;1900730000
31/01/2006;1.713.979.980;1.717.949.951;1.700.339.966;1.710.750.000;1.710.750.000;2235900000
01/02/2006;1.697.119.995;1.714.280.029;1.695.829.956;1.713.020.020;1.713.020.020;2274610000
02/02/2006;1.709.310.059;1.711.150.024;1.684.670.044;1.685.770.020;1.685.770.020;2307830000
03/02/2006;1.673.040.039;1.676.180.054;1.658.380.005;1.664.530.029;1.664.530.029;2230020000
06/02/2006;1.663.709.961;1.667.479.980;1.650.989.990;1.657.540.039;1.657.540.039;1769530000
07/02/2006;1.656.050.049;1.663.989.990;1.644.839.966;1.651.839.966;1.651.839.966;2117180000
08/02/2006;1.665.069.946;1.672.439.941;1.654.030.029;1.670.469.971;1.670.469.971;2181770000
09/02/2006;1.675.939.941;1.681.920.044;1.652.089.966;1.654.079.956;1.654.079.956;2321310000
10/02/2006;1.655.050.049;1.668.719.971;1.637.260.010;1.663.750.000;1.663.750.000;2017730000
13/02/2006;1.653.760.010;1.655.810.059;1.638.530.029;1.645.829.956;1.645.829.956;1662000000
14/02/2006;1.648.640.015;1.666.910.034;1.643.170.044;1.661.949.951;1.661.949.951;1805300000
15/02/2006;1.658.170.044;1.676.140.015;1.655.219.971;1.673.150.024;1.673.150.024;1783050000
16/02/2006;1.677.780.029;1.688.609.985;1.672.930.054;1.688.609.985;1.688.609.985;1940470000
17/02/2006;1.683.189.941;1.684.209.961;1.674.890.015;1.675.209.961;1.675.209.961;1948640000
21/02/2006;1.675.880.005;1.676.930.054;1.650.939.941;1.655.680.054;1.655.680.054;1747180000
22/02/2006;1.657.459.961;1.684.150.024;1.653.680.054;1.677.520.020;1.677.520.020;1824110000
23/02/2006;1.675.020.020;1.687.589.966;1.669.810.059;1.672.290.039;1.672.290.039;1754200000
24/02/2006;1.672.209.961;1.678.150.024;1.666.969.971;1.676.500.000;1.676.500.000;1583980000
27/02/2006;1.681.449.951;1.701.099.976;1.680.430.054;1.695.660.034;1.695.660.034;1714420000
28/02/2006;1.690.439.941;1.695.349.976;1.665.630.005;1.670.569.946;1.670.569.946;2120560000
01/03/2006;1.675.920.044;1.697.250.000;1.672.599.976;1.694.579.956;1.694.579.956;2190420000
02/03/2006;1.686.949.951;1.699.719.971;1.683.380.005;1.693.780.029;1.693.780.029;2089100000
03/03/2006;1.685.130.005;1.706.410.034;1.682.709.961;1.684.319.946;1.684.319.946;2389040000
06/03/2006;1.688.869.995;1.691.109.985;1.665.369.995;1.669.939.941;1.669.939.941;2112280000
07/03/2006;1.666.729.980;1.668.819.946;1.652.589.966;1.661.020.020;1.661.020.020;1908310000
08/03/2006;1.656.290.039;1.668.060.059;1.646.030.029;1.661.859.985;1.661.859.985;2084040000
09/03/2006;1.666.300.049;1.671.839.966;1.644.859.985;1.645.089.966;1.645.089.966;1957560000
10/03/2006;1.645.270.020;1.657.310.059;1.634.250.000;1.648.229.980;1.648.229.980;1752700000
13/03/2006;1.655.349.976;1.663.729.980;1.650.939.941;1.653.790.039;1.653.790.039;1649550000
14/03/2006;1.650.930.054;1.682.930.054;1.650.930.054;1.681.150.024;1.681.150.024;1911750000
15/03/2006;1.687.819.946;1.694.900.024;1.680.060.059;1.694.459.961;1.694.459.961;2090520000
16/03/2006;1.701.000.000;1.703.109.985;1.679.050.049;1.679.050.049;1.679.050.049;2344240000
17/03/2006;1.682.680.054;1.690.959.961;1.676.630.005;1.685.660.034;1.685.660.034;2540120000
20/03/2006;1.690.900.024;1.695.040.039;1.684.160.034;1.688.979.980;1.688.979.980;1943820000
21/03/2006;1.688.589.966;1.707.689.941;1.671.199.951;1.672.469.971;1.672.469.971;2360430000
22/03/2006;1.663.609.985;1.678.729.980;1.662.560.059;1.676.319.946;1.676.319.946;2116220000
23/03/2006;1.672.119.995;1.676.280.029;1.660.819.946;1.670.729.980;1.670.729.980;1963750000
24/03/2006;1.677.089.966;1.687.560.059;1.669.170.044;1.679.810.059;1.679.810.059;1928040000
27/03/2006;1.678.930.054;1.687.540.039;1.678.050.049;1.680.630.005;1.680.630.005;1850220000
28/03/2006;1.681.099.976;1.694.599.976;1.667.949.951;1.673.030.029;1.673.030.029;1997510000
29/03/2006;1.677.109.985;1.711.260.010;1.674.880.005;1.703.839.966;1.703.839.966;2375300000
30/03/2006;1.706.609.985;1.720.199.951;1.700.150.024;1.708.680.054;1.708.680.054;2160810000
31/03/2006;1.712.930.054;1.715.619.995;1.701.859.985;1.703.660.034;1.703.660.034;1851620000
03/04/2006;1.715.119.995;1.723.060.059;1.704.920.044;1.706.770.020;1.706.770.020;1952960000
04/04/2006;1.708.920.044;1.720.430.054;1.705.270.020;1.716.550.049;1.716.550.049;2082320000
05/04/2006;1.722.219.971;1.735.130.005;1.717.280.029;1.732.739.990;1.732.739.990;2027440000
06/04/2006;1.734.209.961;1.745.680.054;1.727.140.015;1.739.199.951;1.739.199.951;2141860000
07/04/2006;1.743.739.990;1.750.229.980;1.720.619.995;1.723.030.029;1.723.030.029;2002360000
10/04/2006;1.724.650.024;1.727.819.946;1.712.469.971;1.718.859.985;1.718.859.985;1840950000
11/04/2006;1.723.959.961;1.725.660.034;1.696.670.044;1.704.400.024;1.704.400.024;2098780000
12/04/2006;1.705.170.044;1.710.920.044;1.701.290.039;1.704.750.000;1.704.750.000;1536510000
13/04/2006;1.704.469.971;1.721.050.049;1.700.550.049;1.712.069.946;1.712.069.946;1516980000
