Date;Open;High;Low;Close;Adj Close;Volume
03/01/2006;12.250.000;12.510.000;10.990.000;11.140.000;11.140.000;0
04/01/2006;11.220.000;11.710.000;10.970.000;11.370.000;11.370.000;0
05/01/2006;11.430.000;11.840.000;11.310.000;11.310.000;11.310.000;0
06/01/2006;11.230.000;11.500.000;10.810.000;11.000.000;11.000.000;0
09/01/2006;11.350.000;11.350.000;10.980.000;11.130.000;11.130.000;0
10/01/2006;11.390.000;11.390.000;10.840.000;10.860.000;10.860.000;0
11/01/2006;11.030.000;11.160.000;10.830.000;10.940.000;10.940.000;0
12/01/2006;10.980.000;11.380.000;10.940.000;11.200.000;11.200.000;0
13/01/2006;11.400.000;11.610.000;11.110.000;11.230.000;11.230.000;0
16/01/2006;;;;;;
17/01/2006;12.130.000;12.460.000;11.870.000;11.910.000;11.910.000;0
18/01/2006;12.620.000;12.700.000;12.200.000;12.250.000;12.250.000;0
19/01/2006;12.120.000;12.340.000;11.650.000;11.980.000;11.980.000;0
20/01/2006;12.100.000;14.560.000;11.890.000;14.560.000;14.560.000;0
23/01/2006;14.440.000;14.480.000;13.580.000;13.930.000;13.930.000;0
24/01/2006;13.790.000;13.830.000;13.140.000;13.310.000;13.310.000;0
25/01/2006;12.950.000;13.380.000;12.620.000;12.870.000;12.870.000;0
26/01/2006;12.890.000;12.910.000;12.190.000;12.420.000;12.420.000;0
27/01/2006;12.270.000;12.330.000;11.720.000;11.970.000;11.970.000;0
30/01/2006;12.220.000;12.460.000;12.070.000;12.390.000;12.390.000;0
31/01/2006;12.450.000;13.060.000;12.450.000;12.950.000;12.950.000;0
01/02/2006;13.030.000;13.030.000;12.340.000;12.360.000;12.360.000;0
02/02/2006;12.540.000;13.470.000;12.480.000;13.230.000;13.230.000;0
03/02/2006;13.370.000;13.700.000;12.640.000;12.960.000;12.960.000;0
06/02/2006;13.430.000;13.430.000;12.990.000;13.040.000;13.040.000;0
07/02/2006;13.200.000;13.670.000;12.970.000;13.590.000;13.590.000;0
08/02/2006;13.410.000;13.610.000;12.760.000;12.830.000;12.830.000;0
09/02/2006;12.560.000;13.150.000;12.270.000;13.120.000;13.120.000;0
10/02/2006;13.350.000;13.730.000;12.690.000;12.870.000;12.870.000;0
13/02/2006;13.340.000;13.700.000;13.050.000;13.350.000;13.350.000;0
14/02/2006;13.090.000;13.150.000;12.010.000;12.250.000;12.250.000;0
15/02/2006;12.430.000;12.950.000;12.210.000;12.310.000;12.310.000;0
16/02/2006;12.190.000;12.290.000;11.130.000;11.480.000;11.480.000;0
17/02/2006;11.640.000;12.210.000;11.520.000;12.010.000;12.010.000;0
20/02/2006;;;;;;
21/02/2006;12.360.000;12.640.000;12.280.000;12.410.000;12.410.000;0
22/02/2006;12.270.000;12.300.000;11.680.000;11.880.000;11.880.000;0
23/02/2006;11.860.000;11.970.000;11.580.000;11.870.000;11.870.000;0
24/02/2006;11.940.000;12.060.000;11.420.000;11.460.000;11.460.000;0
27/02/2006;11.790.000;11.830.000;11.400.000;11.590.000;11.590.000;0
