Date;compound;Low;Open;Volume;High;Close;Adjusted Close
12/01/2006;0.7707;3.217.856.884;327.857.089;795079600;3.297.499.895;3.261.429.071;2.809.276.104
12/04/2006;0.872;3.232.142.925;3.281.429.052;709536800;3.287.499.905;3.254.286.051;2.803.122.997
12/05/2006;0;3.245.357.037;3.273.214.102;662838400;3.297.499.895;3.259.643.078;2.807.737.589
12/06/2006;0.6858;3.202.500.105;323.714.304;638184400;326.392.889;3.208.214.045;2.763.438.225
12/07/2006;-0.6712;3.103.570.938;3.215.357.065;1004827600;3.232.142.925;3.108.571.053;2.677.609.205
12/08/2006;-0.1796;3.107.142.925;3.115.356.922;784277200;3.192.500.114;3.152.143.002;271.514.082
12/11/2006;-0.8743;3.144.643.068;3.174.999.952;499780400;3.189.285.994;3.169.642.925;2.730.214.119
12/12/2006;0;3.054.642.916;3.164.643.049;1026620000;3.172.857.046;307.642.889;2.649.922.848
13/12/2006;0.936;3.112.499.952;3.141.071.081;857052000;3.181.071.043;3.180.356.979;2.739.442.587
14/12/2006;0.962;3.152.143.002;3.180.356.979;832330800;3.214.286.089;3.162.499.905;2.724.061.728
15/12/2006;-0.5228;3.118.928.909;3.179.286.003;739939200;3.186.429.024;3.132.857.084;2.698.529.005
18/12/2006;0.7059;3.021.070.957;3.129.642.963;721576800;3.142.857.075;305.250.001;2.629.312.038
19/12/2006;-0.6705;2.986.428.976;3.026.071.072;911405600;3.095.714.092;3.082.499.981;2.655.153.036
20/12/2006;-0.802;3.026.428.938;3.088.213.921;567691600;3.095.356.941;3.027.143.002;2.607.469.797
21/12/2006;0;2.935.714.006;3.025.000.095;903599200;3.052.856.922;2.960.714.102;2.550.251.484
22/12/2006;0.7269;2.914.285.898;2.980.714.083;613303600;3.001.429.081;2.935.714.006;2.528.716.803
26/12/2006;-0.7685;288.892.889;2.933.928.967;490688800;2.948.929.071;2.911.071.062;2.507.490.635
27/12/2006;0.9488;2.741.786.003;2.791.070.938;1935754800;2.928.570.986;2.911.428.928;2.507.798.195
28/12/2006;0.8636;2.844.643.116;286.500.001;1119876800;2.901.786.089;2.888.214.111;2.487.802.029
29/12/2006;0.8914;2.977.143.049;2.998.214.006;1076429200;3.049.999.952;3.029.999.971;2.609.931.946
01/03/2007;-0.3881;2.924.999.952;3.081.785.917;1238319600;3.092.143.059;2.992.856.979;2.577.937.365
01/04/2007;0.8456;2.993.571.043;3.001.785.994;847260400;3.069.643.021;3.059.286.118;2.635.157.585
01/05/2007;0.9698;3.014.286.041;3.063.214.064;834741600;3.078.571.081;3.037.499.905;2.616.391.182
01/08/2007;0.8798;3.045.713.902;3.069.999.933;797106800;3.090.357.065;305.250.001;2.629.312.038
01/09/2007;-0.946;3.041.070.938;3.087.500.095;3349298400;3.320.713.997;3.306.071.043;2.847.728.968
01/10/2007;-0.8465;3.337.500.095;3.383.929.014;2952880000;3.492.856.979;3.464.286.089;2.984.009.504
01/11/2007;0.6509;3.396.429.062;3.426.429.033;1440252800;3.456.429.005;3.421.428.919;2.947.094.202
01/12/2007;0.968;3.329.643.011;3.378.213.882;1312690400;3.394.999.981;3.379.286.051;2.910.793.066
16/01/2007;-0.8212;340.892.911;3.417.143.106;1244076400;3.473.213.911;3.467.856.884;2.987.085.581
17/01/2007;0.7482;3.386.429.071;348.428.607;1646260000;3.485.713.959;3.391.071.081;2.920.944.452
18/01/2007;0.9592;3.180.356.979;3.289.285.898;2364605600;3.289.643.049;3.181.071.043;2.740.058.184
19/01/2007;0.9864;3.147.142.887;3.165.357.113;1364473600;3.201.786.041;3.160.713.911;2.722.524.405
22/01/2007;0.9829;3.058.928.967;31.835.711;1454026000;3.184.286.118;3.099.642.992;2.669.919.729
23/01/2007;0.7184;305.392.909;3.061.785.936;1207424400;3.125.356.913;3.060.714.006;2.636.387.348
24/01/2007;-0.2592;3.074.285.984;3.095.714.092;927813600;3.112.499.952;309.642.911;2.667.150.974
25/01/2007;0.9268;307.249.999;311.107.111;905973600;3.160.713.911;3.080.357.075;2.653.307.199
26/01/2007;0.6187;3.035.356.998;311.107.111;986874000;3.120.357.037;3.049.285.889;2.626.543.045
29/01/2007;0;3.054.642.916;3.082.143.068;901664400;3.094.643.116;3.069.286.108;2.643.770.695
30/01/2007;0.9473;3.044.642.925;3.086.786.032;577970400;3.088.928.938;3.055.356.979;2.631.773.472
31/01/2007;0.25;3.012.500.048;3.030.714.035;856069200;3.071.429.014;3.061.785.936;2.637.310.028
02/01/2007;0.9152;3.026.428.938;3.079.643.011;664342000;30.810.709;3.026.428.938;2.606.855.631
02/02/2007;-0.4235;2.989.285.946;3.004.286.051;621530000;3.044.642.925;3.026.786.089;2.607.163.191
02/05/2007;0.8481;2.997.857.094;3.010.714.054;578852400;30.439.291;2.997.857.094;2.582.244.873
02/06/2007;0;2.959.285.975;3.016.071.081;864393600;3.016.786.098;3.005.357.027;2.588.704.824
02/07/2007;-0.2681;2.983.928.919;3.017.143.011;1066825200;3.085.000.038;3.076.786.041;2.650.231.123
02/08/2007;0.9928;3.050.357.103;3.051.070.929;679030800;3.089.643.002;3.077.857.018;2.651.153.803
02/09/2007;0.9634;2.971.786.022;3.067.142.963;860540800;3.078.571.081;2.973.928.928;256.163.311
02/12/2007;-0.9729;2.986.785.889;3.015.357.018;724071600;3.042.143.106;3.031.429.052;2.611.162.186
13/02/2007;0;3.010.714.054;3.041.429.043;580986000;3.046.071.053;3.025.000.095;2.605.624.199
14/02/2007;0.9158;3.020.356.894;3.022.500.038;507981600;30.585.711;3.046.428.919;2.624.082.327
15/02/2007;0.6369;3.027.857.065;3.051.429.033;363661200;3.057.857.037;3.043.214.083;2.621.312.857
16/02/2007;0.4754;3.023.571.014;3.044.642.925;399868000;3.050.357.103;3.029.643.059;2.609.622.955
20/02/2007;0.9789;300.571.394;3.023.214.102;617702400;3.077.142.954;3.067.857.027;2.642.539.978
21/02/2007;-0.8625;3.069.999.933;3.070.713.997;1155313600;319.607.091;3.185.714.006;2.744.057.655
22/02/2007;0.8402;3.161.786.079;3.242.856.979;838224800;3.243.213.892;3.196.785.927;2.753.595.352
23/02/2007;0.9806;3.173.213.959;3.184.286.118;517893600;3.226.428.986;3.181.071.043;2.740.058.184
26/02/2007;0.9869;31.289.289;3.208.570.957;615848800;3.214.286.089;3.161.071.062;2.722.831.249
27/02/2007;0.9581;2.978.929.043;3.082.143.068;1145813200;3.109.999.895;2.997.499.943;2.581.936.836
28/02/2007;0;2.964.286.089;2.964.286.089;919475200;3.057.142.973;3.021.785.975;2.602.855.444
03/01/2007;-0.9539;2.991.070.986;3.001.070.976;1415528800;3.153.928.995;310.928.607;2.678.225.517
03/02/2007;-0.93;3.043.214.083;3.098.928.928;860000400;3.126.429.081;3.050.357.103;262.746.644
03/05/2007;0.3071;3.062.856.913;3.067.500.114;838899600;3.166.070.938;3.082.856.894;2.655.460.596
03/06/2007;0.9944;3.121.428.967;3.135.714.054;723186800;3.153.928.995;3.149.642.944;2.712.986.708
03/07/2007;0;3.123.214.006;3.144.643.068;626284400;317.750.001;3.132.857.084;2.698.529.005
03/08/2007;0.4398;3.123.570.919;3.163.928.986;511011200;3.168.570.995;3.142.857.075;2.707.142.591
03/09/2007;0.9501;3.121.428.967;3.171.428.919;451836000;3.173.213.959;3.141.786.098;2.706.219.912
03/12/2007;-0.9724;3.142.499.924;3.145.356.894;729408400;3.213.928.938;3.209.642.887;276.466.918
13/03/2007;0.5135;3.157.143.116;319.321.394;867890800;3.235.713.959;3.157.143.116;2.719.447.851
14/03/2007;0.9553;3.140.000.105;3.164.285.898;796586000;3.214.286.089;3.214.286.089;276.866.889
15/03/2007;0.5713;3.189.642.906;3.212.857.008;559498800;3.227.143.049;3.198.929.071;2.755.440.235
16/03/2007;0.1882;3.190.000.057;3.197.856.903;571704000;3.213.928.938;3.199.642.897;2.756.055.832
19/03/2007;-0.743;3.199.642.897;3.222.856.998;712961200;3.269.643.068;3.254.642.963;2.803.430.557
20/03/2007;0.738;3.252.142.906;3.262.500.048;488916400;3.279.999.971;3.267.143.011;281.419.754
21/03/2007;0.4762;3.273.214.102;3.285.356.998;686896000;3.357.142.925;3.352.499.962;2.887.721.062
22/03/2007;-0.6633;3.321.429.014;3.347.500.086;561492400;3.369.999.886;3.355.714.083;2.890.489.578
23/03/2007;0.9151;3.332.143.068;3.333.929.062;450884000;3.359.642.982;3.339.999.914;2.876.954.079
26/03/2007;0.6808;3.332.143.068;3.356.786.013;864987200;3.424.999.952;3.423.213.959;2.948.631.525
27/03/2007;-0.3939;3.392.857.075;3.418.214.083;932052800;3.458.214.045;3.409.286.022;2.936.633.825
28/03/2007;0;3.326.786.041;3.388.571.024;942337200;3.407.143.116;3.329.999.924;2.868.340.015
29/03/2007;0.875;32.939.291;3.363.929.033;725723600;3.363.929.033;3.348.213.911;2.884.029.627
30/03/2007;0.2382;33.125;3.367.142.916;600558000;3.381.428.957;331.821.394;2.858.187.675
04/02/2007;0.7677;3.322.143.078;336.214.304;501992400;3.366.070.986;3.344.643.116;2.880.954.027
04/03/2007;0;3.348.571.062;336.214.304;583934400;3.401.071.072;3.375;290.710.187
04/04/2007;0.949;3.361.785.889;339.071.393;476784000;3.397.856.951;3.366.786.003;2.900.026.083
04/05/2007;0;3.339.999.914;3.361.428.976;355516000;3.381.428.957;3.381.428.957;2.912.639.618
04/09/2007;0.945;3.322.856.903;3.400.357.008;413341600;340.357.089;3.344.643.116;2.880.954.027
04/10/2007;0.969;3.336.071.014;3.345.356.941;352466800;336.642.909;3.366.070.986;2.899.410.486
04/11/2007;0.9799;3.297.499.895;3.353.570.938;549018400;3.355.356.932;330.678.606;2.848.344.088
04/12/2007;-0.4569;324.000.001;3.287.142.992;656675600;329.678.607;3.292.500.019;2.836.039.305
13/04/2007;0.204;3.216.428.995;3.246.428.967;719941600;3.264.286.041;3.222.856.998;2.776.050.806
16/04/2007;0.4588;3.223.213.911;3.234.642.982;609033600;3.267.857.075;3.265.357.018;2.812.659.979
17/04/2007;0.959;3.203.571.081;3.285.713.911;751920400;3.296.428.919;3.226.785.898;2.779.435.635
18/04/2007;0.9814;3.200.000.048;3.220.000.029;464044000;3.244.642.973;3.228.570.938;2.780.972.958
19/04/2007;0.9472;3.208.214.045;3.221.071.005;425913600;3.258.929.014;3.223.928.928;2.776.973.963
20/04/2007;0.8895;3.233.928.919;32.460.711;522779600;3.256.428.957;3.248.929.024;2.798.508.644
23/04/2007;0.936;3.265.000.105;3.271.070.957;780290000;3.349.999.905;3.339.643.002;2.876.645.803
24/04/2007;-0.7127;3.260.714.054;3.355.714.083;1055252800;3.442.500.114;3.329.999.924;2.868.340.015
25/04/2007;-0.9543;3.349.999.905;3.365.356.922;1187144000;3.407.143.116;3.405.356.884;293.324.995
26/04/2007;0.8668;3.510.714.054;362.785.697;1737778000;3.660.713.911;3.529.999.971;3.040.612.698
27/04/2007;0.8689;3.488.929.033;3.506.428.957;699403600;3.569.643.021;3.568.571.091;3.073.836.327
30/04/2007;0;355.964.303;3.574.642.897;616509600;3.607.142.925;3.564.285.994;3.070.145.845
05/01/2007;0.1212;3.519.643.068;355.678.606;532523600;3.583.929.062;355.250.001;3.059.993.744
05/02/2007;-0.9913;355.250.001;3.558.928.967;505145200;3.590.713.978;3.585.356.951;3.088.295.698
05/03/2007;0.9432;3.571.785.927;3.597.500.086;576077600;3.623.214.006;3.585.714.102;3.088.603.258
05/04/2007;0.9509;3.589.286.089;3.599.999.905;381987200;3.628.571.033;3.600.357.056;3.101.216.793
05/07/2007;0.791;3.607.500.076;3.609.999.895;861557200;3.726.785.898;3.711.429.119;3.196.888.685
05/08/2007;0.9768;3.693.571.091;3.695.357.084;783997200;3.755.357.027;3.752.142.906;3.231.957.912
05/09/2007;0.3687;37.460.711;3.746.786.118;717757600;3.819.999.933;3.817.142.963;3.287.947.416
05/10/2007;0.9444;3.782.856.941;3.808.213.949;1197257600;3.887.142.897;3.833.570.957;3.302.098.513
05/11/2007;0.8544;3.813.570.976;3.847.856.998;653696400;3.897.500.038;388.357.091;3.345.165.968
14/05/2007;0.9413;3.866.070.986;3.914.999.962;651946400;3.928.570.986;3.905.714.035;3.364.239.216
15/05/2007;0.8176;3.802.856.922;3.913.213.968;954514400;3.935.714.006;3.839.999.914;3.307.635.307
16/05/2007;0.9949;3.693.571.091;3.876.070.976;1126767600;3.886.785.984;3.833.570.957;3.302.098.513
17/05/2007;0.9928;3.826.786.041;3.826.786.041;735291200;3.923.928.976;3.908.571.005;3.366.701.365
18/05/2007;0.9834;3.920.356.989;3.936.785.936;621345200;395.142.889;3.929.286.003;338.454.318
21/05/2007;0.6926;3.930.356.979;3.939.642.906;639892400;4.016.070.843;3.999.285.936;3.444.838.762
22/05/2007;-0.2263;4.000.357.151;4.017.499.924;572409600;40.625;4.054.999.828;3.492.829.561
23/05/2007;0.8591;4.021.070.957;4.072.143.078;911374800;4.107.142.925;4.031.785.965;3.472.833.633
24/05/2007;0.9042;3.941.786.051;4.028.929.234;887362000;408.785.677;395.321.393;3.405.154.467
25/05/2007;0.9269;3.982.142.925;4;632959600;4.063.570.976;4.057.857.037;3.495.290.041
29/05/2007;-0.7096;4.024.642.944;4.087.500.095;645694000;4.102.142.811;4.083.929.062;3.517.747.402
30/05/2007;0.8658;4.054.643.154;408.214.283;1478444800;4.245.714.188;4.241.786.003;3.653.718.948
31/05/2007;-0.4404;4.269.286.156;4.288.214.207;1297066400;4.363.214.016;4.328.214.169;3.728.164.911
06/01/2007;0;422.464.323;4.324.999.809;885262000;4.328.214.169;4.228.570.938;3.642.336.845
06/04/2007;0.9526;4.210.713.863;4.236.785.889;886673200;4.347.499.847;4.333.213.806;3.732.471.466
06/05/2007;0.9674;4.303.571.224;4.336.071.014;920785600;438.178.587;4.381.071.091;3.773.695.469
06/06/2007;0.944;435.535.717;4.367.856.979;1112241200;4.430.356.979;4.415.713.787;3.803.532.839
06/07/2007;0.97;4.399.642.944;4.463.929.176;1915079600;4.557.499.886;4.431.070.805;3.816.761.971
06/08/2007;0.9912;4.367.499.828;4.493.570.805;1241682400;4.493.928.909;4.446.071.148;3.829.684.019
06/11/2007;0;4.269.286.156;4.5;1874258400;4.505.356.789;4.292.500.019;3.697.403.193
06/12/2007;0.9715;4.225.357.056;4.262.499.809;1426566400;4.346.786.022;4.299.285.889;370.324.707
13/06/2007;0.7015;4.121.428.967;4.326.786.041;1721353200;4.328.214.169;4.196.428.776;3.614.649.773
14/06/2007;0.9716;4.157.856.941;4.185.713.768;973266000;4.266.070.843;4.241.071.224;3.653.104.067
15/06/2007;0.8126;4.280.714.035;4.307.857.037;811218800;4.309.642.792;4.303.571.224;3.706.938.267
18/06/2007;-0.9643;4.376.429.081;4.402.856.827;910604800;4.470.714.092;446.750.021;3.848.141.193
19/06/2007;0.6416;4.389.643.192;4.453.214.169;943026000;4.464.643.002;4.416.429.043;3.804.149.628
20/06/2007;0;4.339.285.851;4.423.929.214;897512000;4.452.143.192;4.341.071.129;3.739.239.931
21/06/2007;0.9666;4.311.429.024;4.346.428.871;867045200;4.438.929.081;4.425.000.191;3.811.532.497
22/06/2007;0.9488;4.370.714.188;4.423.213.959;631876000;4.444.643.021;4.392.857.075;3.783.846.378
25/06/2007;-0.3182;4.323.571.205;4.435.357.094;965403600;446.750.021;436.928.606;3.763.543.844
26/06/2007;0.9704;4.239.999.771;4.427.856.922;1345005200;4.428.571.224;4.273.213.863;3.680.790.186
27/06/2007;0.9462;4.259.285.927;4.307.499.886;974696800;4.358.571.053;4.353.213.787;3.749.699.593
28/06/2007;0;4.285.714.149;4.369.999.886;838143600;4.374.642.849;430.571.413;3.708.785.295
29/06/2007;0.9429;4.324.643.135;4.356.070.995;1137841600;4.428.571.224;4.358.571.053;3.754.313.231
07/02/2007;0.8173;4.260.714.054;4.323.214.054;994862400;4.360.356.808;4.330.714.226;3.730.319.262
07/03/2007;0.6289;4.339.285.851;4.357.142.925;1162481600;4.550.000.191;4.541.786.194;3.912.129.164
07/05/2007;0.9101;4.596.070.766;4.599.999.905;1453051600;4.748.929.024;4.741.071.224;4.083.785.057
07/06/2007;0.9781;4.657.143.116;4.754.642.963;874694800;4.762.143.135;4.724.999.905;4.069.943.428
07/09/2007;0.5653;4.613.571.167;4.727.857.113;995820000;4.746.428.967;4.654.643.059;4.009.339.333
07/10/2007;0.8545;4.600.357.056;4.602.857.113;1255007600;4.803.571.224;4.726.786.137;4.071.479.321
07/11/2007;-0.9719;4.689.642.906;4.716.785.908;821772000;4.775.000.095;4.728.213.787;4.072.710.991
07/12/2007;0.3483;4.728.213.787;4.780.356.884;704608800;4.794.285.774;4.788.214.207;4.124.392.509
13/07/2007;-0.4497;4.804.286.003;4.822.500.229;907606000;4.923.213.959;49.189.291;4.236.985.207
16/07/2007;0.6739;4.910.714.149;4.942.500.114;936112800;4.999.286.175;4.932.143.211;4.248.368.263
17/07/2007;0.9605;4.910.714.149;4.939.286.232;709959600;4.985.713.959;4.961.071.014;4.273.284.912
18/07/2007;0.9921;4.858.571.053;4.935.357.094;756856800;494.428.587;4.932.857.037;424.898.243
19/07/2007;0.8377;4.987.500.191;5.010.714.054;732891600;5.028.929.234;5;4.306.815.624
20/07/2007;0.9712;5;5.058.928.967;1167773600;5.149.285.793;5.133.928.776;4.422.179.699
23/07/2007;0.9792;5.033.214.092;511.821.413;1036490000;5.186.429.024;5.132.143.021;4.420.639.992
24/07/2007;0.9642;4.791.070.938;4.960.000.038;1795292800;5.035.714.149;4.817.500.114;4.149.618.626
25/07/2007;0;4.821.428.776;4.905.356.884;1496182800;4.941.429.138;4.902.143.002;4.222.527.027
26/07/2007;0.9899;4.891.428.947;5.211.071.014;2186629200;5.303.571.224;5.214.285.851;4.491.394.997
27/07/2007;0.9844;5.135.000.229;5.221.070.766;1161098400;5.318.571.091;5.137.499.809;4.425.253.868
30/07/2007;-0.7804;4.984.642.982;5.154.643.059;1106988400;5.194.643.021;5.051.071.167;4.350.808.144
31/07/2007;0.5023;4.697.143.078;5.106.070.995;1762392800;5.124.286.175;4.705.714.226;4.053.330.421
08/01/2007;0.9683;4.563.213.825;4.772.857.189;1750156800;4.835.000.038;4.821.428.776;4.153.001.785
08/02/2007;-0.4005;4.791.070.938;4.880.356.789;852644800;4.891.428.947;4.874.642.849;4.198.839.188
08/03/2007;-0.0772;4.696.428.776;4.830.714.226;679187600;485.535.717;4.708.929.062;4.056.098.938
08/06/2007;0.5994;458.214.283;4.746.428.967;925170400;48.310.709;4.830.357.075;4.160.692.215
08/07/2007;0;4.736.785.889;481.928.587;949936400;4.901.429.176;4.822.500.229;4.153.925.419
08/08/2007;0.9835;4.714.285.851;4.884.285.927;808096800;488.785.696;4.786.070.824;4.122.546.673
08/09/2007;0.9779;446.750.021;4.682.499.886;1125395600;4.75;451.392.889;3.888.133.526
08/10/2007;0.9585;4.296.429.157;4.397.142.887;1410749200;45.625;4.464.285.851;3.845.372.915
13/08/2007;0.9397;4.517.857.075;4.582.857.132;752911600;4.619.643.211;4.563.929.081;3.931.202.412
14/08/2007;0.9325;4.418.213.844;4.581.786.156;739006800;458.214.283;4.429.643.154;3.815.533.638
15/08/2007;0.9182;4.273.213.863;4.383.571.148;992852000;4.459.286.213;4.282.143.116;3.688.482.046
16/08/2007;0.7832;3.986.428.976;4.178.928.852;1866690000;4.232.142.925;4.180.356.979;360.080.719
17/08/2007;0.923;4.279.285.908;4.357.500.076;1195062400;4.410.714.149;4.359.285.831;3.754.929.066
20/08/2007;-0.2263;4.303.571.224;4.427.143.097;803317200;4.446.428.776;4.364.999.771;3.759.851.217
